OBJECTID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
299,8,12393,2407985,812393,Castle Pines Village,Castle Pines Village CDP,57,U1,N,N,G4210,S,11384898,0,39.4420525,-104.8971496,0.148308004,0.001191204
300,8,12450,2583219,812450,Cathedral,Cathedral CDP,57,U1,N,N,G4210,S,55112611,0,38.0836289,-107.0306813,0.412670337,0.005659544
301,8,12460,2583220,812460,Catherine,Catherine CDP,57,U1,N,N,G4210,S,2249378,0,39.4037555,-107.1449608,0.104707806,0.000235219
302,8,12470,2583221,812470,Cattle Creek,Cattle Creek CDP,57,U1,N,N,G4210,S,3355025,0,39.4666337,-107.259917,0.095290306,0.000351158
303,8,12945,2583222,812945,Chacra,Chacra CDP,57,U1,N,N,G4210,S,2449808,"98,604.00",39.5783967,-107.4549073,0.096558815,0.000267151
304,8,13590,2629984,813590,Cherry Creek,Cherry Creek CDP,57,U1,N,N,G4210,S,4346478,0,39.6094251,-104.8644485,0.139128771,0.000455852
305,8,14587,2407622,814587,Cimarron Hills,Cimarron Hills CDP,57,U1,N,N,G4210,S,15683486,"8,832.00",38.8591187,-104.6995713,0.225440838,0.001628562
306,8,15165,2407634,815165,Clifton,Clifton CDP,57,U1,N,N,G4210,S,15748875,"179,408.00",39.0765821,-108.4603163,0.654105232,0.001658047
307,8,15302,2407642,815302,Coal Creek,Coal Creek CDP,57,U1,N,N,G4210,S,24316324,"38,964.00",39.9046933,-105.3721357,0.323076819,0.002565238
308,8,15440,2583223,815440,Coaldale,Coaldale CDP,57,U1,N,N,G4210,S,77314243,0,38.3562898,-105.815473,0.505227113,0.007968779
309,8,15825,2583224,815825,Colona,Colona CDP,57,U1,N,N,G4210,S,156858,0,38.3275099,-107.7793059,0.023451663,1.61607E-05
310,8,15935,2407647,815935,Colorado City,Colorado City CDP,57,U1,N,N,G4210,S,35471375,"285,743.00",37.9366509,-104.8456012,0.543399826,0.003664621
311,8,16110,2407649,816110,Columbine,Columbine CDP,57,U1,N,N,G4210,S,17173298,"317,891.00",39.5885857,-105.0691804,0.219280595,0.00183389
312,8,16465,2583225,816465,Comanche Creek,Comanche Creek CDP,57,U2,N,N,G4210,S,56235832,"196,829.00",39.6061049,-104.3358154,0.408624009,0.005919045
313,8,16715,2631317,816715,Conejos,Conejos CDP,57,U1,N,N,G4210,S,1254025,0,37.0872571,-106.0159931,0.052067009,0.000127091
314,8,17150,2583226,817150,Copper Mountain,Copper Mountain CDP,57,U1,N,N,G4210,S,83031010,0,39.4768949,-106.201113,0.572755652,0.008691677
315,8,17485,2583227,817485,Cotopaxi,Cotopaxi CDP,57,U1,N,N,G4210,S,740204,0,38.3728059,-105.68552,0.071780527,7.63092E-05
316,8,18585,2583229,818585,Crisman,Crisman CDP,57,U1,N,N,G4210,S,3774412,411,40.0434111,-105.3723785,0.104182299,0.000398357
317,8,19150,2583230,819150,Dakota Ridge,Dakota Ridge CDP,57,U2,N,N,G4210,S,24133753,"802,815.00",39.6194263,-105.1356922,0.238089603,0.002615684
318,8,20275,2408661,820275,Derby,Derby CDP,57,U1,N,N,G4210,S,4545597,"37,908.00",39.8407912,-104.9162539,0.499547761,0.000482299
319,8,20605,2583231,820605,Divide,Divide CDP,57,U1,N,N,G4210,S,869236,0,38.9450062,-105.1619493,0.039867689,9.03173E-05
320,8,21155,2583232,821155,Dotsero,Dotsero CDP,57,U1,N,N,G4210,S,3516698,"456,283.00",39.6475443,-107.0492978,0.132018775,0.000416896
321,8,21330,2629985,821330,Dove Valley,Dove Valley CDP,57,U1,N,N,G4210,S,9390780,0,39.5745458,-104.8278066,0.250511282,0.000984404
322,8,21390,2408685,821390,Downieville-Lawson-Dumont,Downieville-Lawson-Dumont CDP,57,U2,N,N,G4210,S,2014161,"54,150.00",39.7666132,-105.6067263,0.153448769,0.000217407
323,8,22575,2408030,822575,East Pleasant View,East Pleasant View CDP,57,U2,N,N,G4210,S,291814,0,39.727812,-105.1571632,0.033338966,3.06569E-05
324,8,23300,2408049,823300,Edwards,Edwards CDP,57,U1,Y,N,G4210,S,69009938,"397,177.00",39.6118242,-106.6197023,0.686213504,0.007280578
325,8,23520,2629986,823520,Elbert,Elbert CDP,57,U1,N,N,G4210,S,1227282,0,39.2188561,-104.5404434,0.058920849,0.000128008
326,8,23575,2408069,823575,Eldora,Eldora CDP,57,U1,N,N,G4210,S,10763415,"63,501.00",39.9582526,-105.5849796,0.189282801,0.001141115
327,8,23630,2408071,823630,Eldorado Springs,Eldorado Springs CDP,57,U1,N,N,G4210,S,6691610,"3,912.00",39.9392659,-105.2490813,0.180219999,0.000705503
328,8,23795,2408058,823795,El Jebel,El Jebel CDP,57,U1,N,N,G4210,S,13774795,"88,862.00",39.4069335,-107.0941453,0.238213771,0.001449799
329,8,24235,2629987,824235,Ellicott,Ellicott CDP,57,U1,N,N,G4210,S,28287174,0,38.825585,-104.3828725,0.265259934,0.002934313
330,8,24290,2583233,824290,El Moro,El Moro CDP,57,U1,N,N,G4210,S,28747670,"65,909.00",37.2466326,-104.4531105,0.322730694,0.002925765
331,8,25390,2408097,825390,Evergreen,Evergreen CDP,57,U1,N,N,G4210,S,29843916,"212,554.00",39.6356071,-105.3380888,0.454993543,0.003153426
332,8,25550,2583234,825550,Fairmount,Fairmount CDP,57,U2,N,N,G4210,S,15538007,"515,501.00",39.7925691,-105.1711574,0.40345884,0.001688086
333,8,27095,2583235,827095,Florissant,Florissant CDP,57,U1,N,N,G4210,S,1335575,0,38.9445571,-105.2898699,0.068851605,0.000138772
334,8,27175,2583236,827175,Floyd Hill,Floyd Hill CDP,57,U2,N,N,G4210,S,13642081,"8,460.00",39.7248257,-105.4341512,0.215166048,0.00143399
335,8,27370,2408234,827370,Fort Carson,Fort Carson CDP,57,M2,N,N,G4210,S,22539093,0,38.7402836,-104.7835715,0.239627677,0.002335294
336,8,27535,2408238,827535,Fort Garland,Fort Garland CDP,57,U1,N,N,G4210,S,972792,0,37.4279161,-105.4350076,0.046912318,9.90284E-05
337,8,28250,2408255,828250,Franktown,Franktown CDP,57,U1,N,N,G4210,S,7624784,"36,069.00",39.3900153,-104.7423896,0.150496935,0.000800974
338,8,28800,2408269,828800,Fruitvale,Fruitvale CDP,57,U1,N,N,G4210,S,7527794,0,39.0932746,-108.4789111,0.308633817,0.000783788
339,8,28830,2583237,828830,Fulford,Fulford CDP,57,U1,N,N,G4210,S,574653,506,39.5184916,-106.6587404,0.034975965,6.02424E-05
