"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013"
"037",1,"63265","Red Cliff",267,0,267,2.28,141,117,24,17.02,266,0,266,2.27,141,117,24,17.02,263,0,263,2.28,141,115,26,18.43,263,0,263,2.28,141,115,26,18.43,265,0,265,2.28,141,116,25,17.73
"037",1,"80040","Vail",5305,1,5304,2.03,7230,2604,4626,63.98,5288,1,5287,2.03,7231,2596,4635,64.09,5241,1,5240,2.03,7238,2573,4665,64.45,5244,1,5243,2.03,7242,2574,4668,64.45,5289,1,5288,2.03,7259,2596,4663,64.23
"037",1,"22200","Eagle",6508,54,6454,2.95,2416,2183,233,9.64,6489,54,6435,2.95,2417,2177,240,9.92,6451,69,6382,2.95,2421,2159,262,10.82,6461,69,6392,2.95,2425,2162,263,10.84,6505,69,6436,2.95,2426,2177,249,10.26
"037",1,"04110","Avon",6447,0,6447,2.77,3615,2321,1294,35.79,6425,0,6425,2.77,3615,2313,1302,36.01,6374,0,6374,2.77,3622,2295,1327,36.63,6386,0,6386,2.77,3629,2299,1330,36.64,6434,0,6434,2.77,3633,2316,1317,36.25
"037",1,"33695","Gypsum",6477,0,6477,3.22,2205,2009,196,8.88,6475,0,6475,3.22,2212,2008,204,9.22,6447,0,6447,3.22,2224,2000,224,10.07,6510,0,6510,3.22,2246,2019,227,10.10,6675,0,6675,3.22,2288,2070,218,9.52
"037",,"04935","Basalt (Part)",2926,0,2926,2.42,1398,1208,190,13.59,2918,0,2918,2.42,1399,1205,194,13.86,2890,0,2890,2.42,1399,1193,206,14.72,2891,0,2891,2.42,1400,1194,206,14.71,2910,0,2910,2.42,1400,1201,199,14.21
"037",1,"50920","Minturn",1027,0,1027,2.44,528,420,108,20.45,1027,0,1027,2.44,530,420,110,20.75,1025,0,1025,2.44,534,419,115,21.53,1029,0,1029,2.44,536,421,115,21.45,1038,0,1038,2.44,537,424,113,21.04
"037",1,"99990","Unincorp. Area",23240,0,23240,2.77,13779,8374,5405,39.22,23169,0,23169,2.77,13785,8348,5437,39.44,22986,0,22986,2.77,13809,8282,5527,40.02,23037,0,23037,2.77,13841,8301,5540,40.02,23222,0,23222,2.77,13864,8368,5496,39.64
"039",1,"70635","Simla",618,30,588,2.66,266,221,45,16.91,618,30,588,2.66,266,221,45,16.91,619,30,589,2.66,266,221,45,16.91,621,30,591,2.66,266,222,44,16.54,625,30,595,2.65,266,224,42,15.78
"039",1,"23740","Elizabeth",1358,0,1358,2.77,531,489,42,7.90,1358,0,1358,2.77,531,489,42,7.90,1360,0,1360,2.77,531,490,41,7.72,1365,0,1365,2.77,531,492,39,7.34,1378,0,1378,2.77,532,496,36,6.76
